Player Name,Team Name,Playing Role,Batting Style,Batting Position,Runs_Scored,Batting Average,Strike_rate,Total_hundreds,Total_fifties,Fours_Scored,Sixes_scored,Bowling Style,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Strike Rate,Bowling Average,Fours_Conceded,Sixes_Conceded
James Muirhead,Australia,Bowler,Right hand Bat,10,4,4.0,50.0,0,0,0,0,Legbreak,109,6,7.3,15.0,18.17,2,6
James Neesham,New Zealand,Batting Allrounder,Left hand Bat,6,185,16.82,141.22,0,0,19,8,Right arm Medium fast,323,13,8.6,17.38,24.85,25,11
James Pattinson,Australia,Bowler,Left hand Bat,10,5,0.0,166.67,0,0,1,0,Right arm Fast medium,104,3,8.0,26.0,34.67,8,5
James Shannon,Ireland,Middle order Batter,Right hand Bat,4,111,13.88,132.14,0,1,12,5,Right arm Offbreak,11,0,11.0,0.0,0.0,2,0
James Tredwell,England,Allrounder,Left hand Bat,9,32,10.67,160.0,0,0,4,1,Right arm Offbreak,416,7,7.9,45.29,59.43,24,19
James Vince,England,Batter,Right hand Bat,3,340,28.33,123.64,0,1,34,9,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Janneman Malan,South Africa,Top order Batter,Right hand Bat,2,35,17.5,94.59,0,0,3,2,Legbreak,0,0,0.0,0.0,0.0,0,0
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,7,111,12.33,132.14,0,0,10,4,Right arm Medium fast,524,13,8.4,28.69,40.31,60,14
Jason Mohammed,West Indies,Middle order Batter,Right hand Bat,5,90,18.0,87.38,0,0,9,1,Right arm Offbreak,13,0,6.5,0.0,0.0,1,0
Jason Roy,England,Opening Batter,Right hand Bat,1,743,23.22,145.12,0,4,75,35,,0,0,0.0,0.0,0.0,0,0
Jasprit Bumrah,India,Bowler,Right hand Bat,10,8,4.0,61.54,0,0,1,0,Right arm Fast,983,48,6.8,18.12,20.48,107,21
Javed Ahmadi,Afghanistan,Top order Batter,Right hand Bat,2,6,3.0,85.71,0,0,1,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Jean-Paul Duminy,South Africa,Batting Allrounder,Left hand Bat,4,1557,44.49,127.0,0,9,105,62,Right arm Offbreak,558,18,7.8,23.67,31.0,41,19
Jeevan Mendis,Sri Lanka,Allrounder,Left hand Bat,6,207,18.82,118.97,0,0,18,6,Legbreak,249,12,7.1,17.5,20.75,11,10
Jeffrey Vandersay,Sri Lanka,Bowler,Right hand Bat,10,15,15.0,88.24,0,0,2,0,Legbreak,262,6,7.5,35.0,43.67,17,10
Jerome Taylor,West Indies,Bowler,Right hand Bat,9,98,14.0,134.25,0,0,9,5,Right arm Fast,519,16,8.9,21.75,32.44,61,14
Jesse Ryder,New Zealand,Allrounder,Left hand Bat,2,226,20.55,122.83,0,1,22,8,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Jhye Richardson,Australia,Bowler,Right hand Bat,10,13,13.0,216.67,0,0,2,0,Right arm Fast,287,9,8.4,22.67,31.89,21,14
Joe Denly,England,Top order Batter,Right hand Bat,4,78,15.6,101.3,0,0,9,1,Legbreak,76,6,7.6,10.0,12.67,1,7
Joe Root,England,Top order Batter,Right hand Bat,4,893,35.72,126.31,0,5,92,16,"Right arm Offbreak, Legbreak",139,6,9.9,14.0,23.17,13,7
Johan Botha,South Africa,Allrounder,Right hand Bat,7,142,15.78,121.37,0,0,10,7,Right arm Offbreak,483,24,6.5,18.71,20.12,34,14
John Anderson,Ireland,Batter,Right hand Bat,2,12,6.0,66.67,0,0,1,0,Right arm Offbreak,13,0,13.0,0.0,0.0,3,0
John Campbell,West Indies,Opening Batter,Left hand Bat,2,11,5.5,68.75,0,0,2,0,Right arm Offbreak,1,0,1.0,0.0,0.0,0,0
John Hastings,Australia,Allrounder,Right hand Bat,9,46,11.5,124.32,0,0,3,1,Right arm Fast medium,247,7,8.0,26.57,35.29,26,9
John Mooney,Ireland,Allrounder,Left hand Bat,7,150,13.64,111.11,0,0,17,1,Right arm Medium,176,10,6.9,15.6,17.6,19,4
John Nyumbu,Zimbabwe,Bowler,Right hand Bat,10,7,0.0,63.64,0,0,1,0,Right arm Offbreak,76,0,12.7,0.0,0.0,7,5
Johnson Charles,West Indies,Wicketkeeper Batter,Right hand Bat,1,681,21.28,119.47,0,4,79,24,,0,0,0.0,0.0,0.0,0,0
Jonathan Trott,England,Top order Batter,Right hand Bat,1,43,21.5,70.49,0,0,3,0,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Jonny Bairstow,England,Wicketkeeper Batter,Right hand Bat,4,603,26.22,134.0,0,3,56,25,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Jos Buttler,England,,,5,1260,26.81,138.16,0,7,102,53,,0,0,0.0,0.0,0.0,0,0
Josh Little,Ireland,Bowler,Right hand Bat,9,18,4.5,112.5,0,0,3,0,Left arm Fast medium,367,7,9.1,34.86,52.43,37,18
Junaid Khan,Pakistan,Bowler,Right hand Bat,10,3,0.0,75.0,0,0,0,0,Left arm Fast,236,8,8.7,20.25,29.5,28,8
Junaid Siddique,Bangladesh,Top order Batter,Left hand Bat,2,25,12.5,104.17,0,0,3,1,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Junior Dala,South Africa,Bowler,Right hand Bat,9,19,19.0,67.86,0,0,1,0,Right arm Medium,282,13,9.4,13.85,21.69,39,7
Justin Ontong,South Africa,Allrounder,Right hand Bat,5,137,19.57,173.42,0,0,6,11,Right arm Offbreak,58,0,14.5,0.0,0.0,5,4
KL Rahul,India,Wicketkeeper Batter,Right hand Bat,2,1138,43.77,146.46,2,8,102,50,,0,0,0.0,0.0,0.0,0,0
Kagiso Rabada,South Africa,Bowler,Left hand Bat,8,5,2.5,41.67,0,0,0,0,Right arm Fast,648,28,8.4,16.57,23.14,57,28
