Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,23 runs,Cape Town,"Nov 24, 2013",ODI # 3438
India vs West Indies,India,West Indies,India,5 wickets,Kanpur,"Nov 27, 2013",ODI # 3439
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,1 run,Gqeberha,"Nov 27, 2013",ODI # 3440
South Africa vs Pakistan,South Africa,Pakistan,South Africa,4 wickets,Centurion,"Nov 30, 2013",ODI # 3441
South Africa vs India,South Africa,India,South Africa,141 runs,Johannesburg,"Dec 5, 2013",ODI # 3442
South Africa vs India,South Africa,India,South Africa,134 runs,Durban,"Dec 8, 2013",ODI # 3443
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,11 runs,Sharjah,"Dec 18, 2013",ODI # 3445
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),"Dec 20, 2013",ODI # 3446
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,113 runs,Sharjah,"Dec 22, 2013",ODI # 3447
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,8 wickets,Abu Dhabi,"Dec 25, 2013",ODI # 3448
New Zealand vs West Indies,New Zealand,West Indies,West Indies,2 wickets,Auckland,"Dec 26, 2013",ODI # 3449
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,2 wickets,Abu Dhabi,"Dec 27, 2013",ODI # 3450
New Zealand vs West Indies,New Zealand,West Indies,New Zealand,159 runs,Queenstown,"Jan 1, 2014",ODI # 3451
New Zealand vs West Indies,New Zealand,West Indies,New Zealand,58 runs,Nelson,"Jan 4, 2014",ODI # 3452
New Zealand vs West Indies,New Zealand,West Indies,West Indies,203 runs,Hamilton,"Jan 8, 2014",ODI # 3453
Australia vs England,Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014",ODI # 3454
Australia vs England,Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014",ODI # 3455
New Zealand vs India,New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456
Australia vs England,Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014",ODI # 3457
New Zealand vs India,New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458
Canada vs Scotland,Canada,Scotland,Scotland,170 runs,Christchurch,"Jan 23, 2014",ODI # 3459
Kenya vs Netherlands,Kenya,Netherlands,Kenya,4 wickets,Lincoln,"Jan 23, 2014",ODI # 3460
Australia vs England,Australia,England,England,57 runs,Perth,"Jan 24, 2014",ODI # 3461
New Zealand vs India,New Zealand,India,tied,,Auckland,"Jan 25, 2014",ODI # 3462
Australia vs England,Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014",ODI # 3463
Canada vs Netherlands,Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014",ODI # 3464
New Zealand vs India,New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465
Kenya vs Scotland,Kenya,Scotland,Scotland,3 wickets,Christchurch,"Jan 30, 2014",ODI # 3466
New Zealand vs India,New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467
Scotland vs U.A.E.,Scotland,U.A.E.,Scotland,41 runs,Lincoln,"Feb 1, 2014",ODI # 3468
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,13 runs,Mirpur,"Feb 17, 2014",ODI # 3469
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,61 runs,Mirpur,"Feb 20, 2014",ODI # 3470
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 22, 2014",ODI # 3471
West Indies vs Ireland,West Indies,Ireland,West Indies,4 wickets,Kingston,"Feb 23, 2014",ODI # 3472
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014",ODI # 3473
Bangladesh vs India,Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014",ODI # 3474
Afghanistan vs Pakistan,Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014",ODI # 3475
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",ODI # 3476
West Indies vs England,West Indies,England,West Indies,15 runs,North Sound,"Feb 28, 2014",ODI # 3477
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014",ODI # 3478
India vs Pakistan,India,Pakistan,Pakistan,1 wicket,Mirpur,"Mar 2, 2014",ODI # 3479
West Indies vs England,West Indies,England,England,3 wickets,North Sound,"Mar 2, 2014",ODI # 3480
Afghanistan vs Sri Lanka,Afghanistan,Sri Lanka,Sri Lanka,129 runs,Mirpur,"Mar 3, 2014",ODI # 3481
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,3 wickets,Mirpur,"Mar 4, 2014",ODI # 3482
Afghanistan vs India,Afghanistan,India,India,8 wickets,Mirpur,"Mar 5, 2014",ODI # 3483
West Indies vs England,West Indies,England,England,25 runs,North Sound,"Mar 5, 2014",ODI # 3484
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Mirpur,"Mar 6, 2014",ODI # 3485
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Mirpur,"Mar 8, 2014",ODI # 3486
Afghanistan vs Hong Kong,Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur,"May 1, 2014",ODI # 3487
Afghanistan vs U.A.E.,Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur,"May 2, 2014",ODI # 3488
Hong Kong vs U.A.E.,Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur,"May 4, 2014",ODI # 3489
Ireland vs Sri Lanka,Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin,"May 6, 2014",ODI # 3490
Scotland vs England,Scotland,England,England,39 runs,Aberdeen,"May 9, 2014",ODI # 3491
England vs Sri Lanka,England,Sri Lanka,England,81 runs,The Oval,"May 22, 2014",ODI # 3492
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street,"May 25, 2014",ODI # 3493
England vs Sri Lanka,England,Sri Lanka,England,10 wickets,Manchester,"May 28, 2014",ODI # 3494
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,7 runs,Lord's,"May 31, 2014",ODI # 3495
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,6 wickets,Birmingham,"Jun 3, 2014",ODI # 3496
Bangladesh vs India,Bangladesh,India,India,7 wickets,Mirpur,"Jun 15, 2014",ODI # 3497
Bangladesh vs India,Bangladesh,India,India,47 runs,Mirpur,"Jun 17, 2014",ODI # 3498
Sri Lanka vs South Africa,Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS),"Jul 6, 2014",ODI # 3500
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele,"Jul 9, 2014",ODI # 3501
Sri Lanka vs South Africa,Sri Lanka,South Africa,South Africa,82 runs,Hambantota,"Jul 12, 2014",ODI # 3502
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Jul 18, 2014",ODI # 3503
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Jul 20, 2014",ODI # 3504
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,"Jul 22, 2014",ODI # 3505
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,"Jul 24, 2014",ODI # 3506
Zimbabwe vs South Africa,Zimbabwe,South Africa,South Africa,93 runs,Bulawayo,"Aug 17, 2014",ODI # 3507
Zimbabwe vs South Africa,Zimbabwe,South Africa,South Africa,61 runs,Bulawayo,"Aug 19, 2014",ODI # 3508
West Indies vs Bangladesh,West Indies,Bangladesh,West Indies,3 wickets,St George's,"Aug 20, 2014",ODI # 3509
Zimbabwe vs South Africa,Zimbabwe,South Africa,South Africa,7 wickets,Bulawayo,"Aug 21, 2014",ODI # 3510
West Indies vs Bangladesh,West Indies,Bangladesh,West Indies,177 runs,St George's,"Aug 22, 2014",ODI # 3511
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,4 wickets,Hambantota,"Aug 23, 2014",ODI # 3512
Zimbabwe vs Australia,Zimbabwe,Australia,Australia,198 runs,Harare,"Aug 25, 2014",ODI # 3513
West Indies vs Bangladesh,West Indies,Bangladesh,West Indies,91 runs,Basseterre,"Aug 25, 2014",ODI # 3514
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,77 runs,Hambantota,"Aug 26, 2014",ODI # 3515
Australia vs South Africa,Australia,South Africa,South Africa,7 wickets,Harare,"Aug 27, 2014",ODI # 3516
England vs India,England,India,India,133 runs,Cardiff,"Aug 27, 2014",ODI # 3517
Zimbabwe vs South Africa,Zimbabwe,South Africa,South Africa,61 runs,Harare,"Aug 29, 2014",ODI # 3518
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla,"Aug 30, 2014",ODI # 3519
England vs India,England,India,India,6 wickets,Nottingham,"Aug 30, 2014",ODI # 3520
Zimbabwe vs Australia,Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,"Aug 31, 2014",ODI # 3521
Australia vs South Africa,Australia,South Africa,Australia,62 runs,Harare,"Sep 2, 2014",ODI # 3522
England vs India,England,India,India,9 wickets,Birmingham,"Sep 2, 2014",ODI # 3523
Zimbabwe vs South Africa,Zimbabwe,South Africa,South Africa,63 runs,Harare,"Sep 4, 2014",ODI # 3524
England vs India,England,India,England,41 runs,Leeds,"Sep 5, 2014",ODI # 3525
Australia vs South Africa,Australia,South Africa,South Africa,6 wickets,Harare,"Sep 6, 2014",ODI # 3526
Ireland vs Scotland,Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide),"Sep 8, 2014",ODI # 3527
Ireland vs Scotland,Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide),"Sep 10, 2014",ODI # 3528
Ireland vs Scotland,Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide),"Sep 12, 2014",ODI # 3529
Australia vs Pakistan,Australia,Pakistan,Australia,93 runs,Sharjah,"Oct 7, 2014",ODI # 3530
India vs West Indies,India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014",ODI # 3531
Australia vs Pakistan,Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Oct 10, 2014",ODI # 3532
India vs West Indies,India,West Indies,India,48 runs,Delhi,"Oct 11, 2014",ODI # 3533
Australia vs Pakistan,Australia,Pakistan,Australia,1 run,Abu Dhabi,"Oct 12, 2014",ODI # 3534
India vs West Indies,India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014",ODI # 3535
New Zealand vs South Africa,New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui,"Oct 21, 2014",ODI # 3536
New Zealand vs South Africa,New Zealand,South Africa,South Africa,72 runs,Mount Maunganui,"Oct 24, 2014",ODI # 3537
India vs Sri Lanka,India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014",ODI # 3539
India vs Sri Lanka,India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014",ODI # 3540
Hong Kong vs P.N.G.,Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville,"Nov 8, 2014",ODI # 3541
Hong Kong vs P.N.G.,Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville,"Nov 9, 2014",ODI # 3542
India vs Sri Lanka,India,Sri Lanka,India,6 wickets,Hyderabad,"Nov 9, 2014",ODI # 3543
India vs Sri Lanka,India,Sri Lanka,India,153 runs,Eden Gardens,"Nov 13, 2014",ODI # 3544
Australia vs South Africa,Australia,South Africa,Australia,32 runs,Perth,"Nov 14, 2014",ODI # 3545
Australia vs South Africa,Australia,South Africa,South Africa,3 wickets,Perth,"Nov 16, 2014",ODI # 3546
India vs Sri Lanka,India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014",ODI # 3547
Australia vs South Africa,Australia,South Africa,Australia,73 runs,Canberra,"Nov 19, 2014",ODI # 3548
Australia vs South Africa,Australia,South Africa,Australia,3 wickets,Melbourne,"Nov 21, 2014",ODI # 3549
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,"Nov 21, 2014",ODI # 3550
Australia vs South Africa,Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014",ODI # 3551
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,"Nov 23, 2014",ODI # 3552
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,124 runs,Mirpur,"Nov 26, 2014",ODI # 3553
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),"Nov 26, 2014",ODI # 3554
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,21 runs,Mirpur,"Nov 28, 2014",ODI # 3555
U.A.E. vs Afghanistan,U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,"Nov 28, 2014",ODI # 3556
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),"Nov 29, 2014",ODI # 3557
U.A.E. vs Afghanistan,U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,"Nov 30, 2014",ODI # 3558
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,5 wickets,Mirpur,"Dec 1, 2014",ODI # 3559
U.A.E. vs Afghanistan,U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,"Dec 2, 2014",ODI # 3560
Sri Lanka vs England,Sri Lanka,England,England,5 wickets,Hambantota,"Dec 3, 2014",ODI # 3561
U.A.E. vs Afghanistan,U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,"Dec 4, 2014",ODI # 3562
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),"Dec 7, 2014",ODI # 3563
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),"Dec 8, 2014",ODI # 3564
Sri Lanka vs England,Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014",ODI # 3565
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,"Dec 12, 2014",ODI # 3566
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,90 runs,Pallekele,"Dec 13, 2014",ODI # 3567
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,147 runs,Sharjah,"Dec 14, 2014",ODI # 3568
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),"Dec 16, 2014",ODI # 3569
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Dec 17, 2014",ODI # 3570
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,"Dec 19, 2014",ODI # 3571
Afghanistan vs Scotland,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,"Jan 8, 2015",ODI # 3572
Afghanistan vs Ireland,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),"Jan 10, 2015",ODI # 3573
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,"Jan 11, 2015",ODI # 3574
Ireland vs Scotland,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),"Jan 12, 2015",ODI # 3575
Afghanistan vs Scotland,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,"Jan 14, 2015",ODI # 3576
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,"Jan 15, 2015",ODI # 3577
Australia vs England,Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015",ODI # 3578
South Africa vs West Indies,South Africa,West Indies,South Africa,61 runs,Durban,"Jan 16, 2015",ODI # 3579
Afghanistan vs Ireland,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),"Jan 17, 2015",ODI # 3581
Australia vs India,Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
South Africa vs West Indies,South Africa,West Indies,South Africa,148 runs,Johannesburg,"Jan 18, 2015",ODI # 3583
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,"Jan 20, 2015",ODI # 3585
England vs India,England,India,England,9 wickets,Brisbane,"Jan 20, 2015",ODI # 3586
South Africa vs West Indies,South Africa,West Indies,South Africa,9 wickets,East London,"Jan 21, 2015",ODI # 3587
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,"Jan 23, 2015",ODI # 3588
Australia vs England,Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015",ODI # 3589
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,"Jan 25, 2015",ODI # 3590
South Africa vs West Indies,South Africa,West Indies,West Indies,1 wicket,Gqeberha,"Jan 25, 2015",ODI # 3591
South Africa vs West Indies,South Africa,West Indies,South Africa,131 runs,Centurion,"Jan 28, 2015",ODI # 3593
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,"Jan 29, 2015",ODI # 3594
England vs India,England,India,England,3 wickets,Perth,"Jan 30, 2015",ODI # 3595
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 31, 2015",ODI # 3596
Australia vs England,Australia,England,Australia,112 runs,Perth,"Feb 1, 2015",ODI # 3597
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,119 runs,Napier,"Feb 3, 2015",ODI # 3598
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599
Australia vs England,Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
South Africa vs Zimbabwe,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601
India vs Pakistan,India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602
Ireland vs West Indies,Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603
New Zealand vs Scotland,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604
Afghanistan vs Bangladesh,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605
U.A.E. vs Zimbabwe,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606
New Zealand vs England,New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607
Pakistan vs West Indies,Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608
Afghanistan vs Sri Lanka,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609
India vs South Africa,India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610
England vs Scotland,England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612
Ireland vs U.A.E.,Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613
Afghanistan vs Scotland,Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",ODI # 3614
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",ODI # 3615
South Africa vs West Indies,South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",ODI # 3616
New Zealand vs Australia,New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617
India vs U.A.E.,India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",ODI # 3619
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",ODI # 3620
Ireland vs South Africa,Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",ODI # 3621
Pakistan vs U.A.E.,Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",ODI # 3622
Australia vs Afghanistan,Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623
Bangladesh vs Scotland,Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",ODI # 3624
India vs West Indies,India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625
Pakistan vs South Africa,Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",ODI # 3626
Ireland vs Zimbabwe,Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",ODI # 3627
New Zealand vs Afghanistan,New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",ODI # 3628
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629
Bangladesh vs England,Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",ODI # 3630
India vs Ireland,India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631
Scotland vs Sri Lanka,Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",ODI # 3632
South Africa vs U.A.E.,South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",ODI # 3633
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",ODI # 3634
Afghanistan vs England,Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",ODI # 3635
India vs Zimbabwe,India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636
Australia vs Scotland,Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637
U.A.E. vs West Indies,U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",ODI # 3638
Ireland vs Pakistan,Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",ODI # 3639
South Africa vs Sri Lanka,South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",ODI # 3640
Bangladesh vs India,Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641
Australia vs Pakistan,Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642
New Zealand vs West Indies,New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",ODI # 3643
New Zealand vs South Africa,New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",ODI # 3644
Australia vs India,Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia vs New Zealand,Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646
Bangladesh vs Pakistan,Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,"Apr 17, 2015",ODI # 3647
Bangladesh vs Pakistan,Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,"Apr 19, 2015",ODI # 3648
Bangladesh vs Pakistan,Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,"Apr 22, 2015",ODI # 3649
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015",ODI # 3651
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015",ODI # 3652
England vs New Zealand,England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015",ODI # 3654
England vs New Zealand,England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015",ODI # 3655
England vs New Zealand,England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015",ODI # 3656
England vs New Zealand,England,New Zealand,England,7 wickets,Nottingham,"Jun 17, 2015",ODI # 3657
Bangladesh vs India,Bangladesh,India,Bangladesh,79 runs,Mirpur,"Jun 18, 2015",ODI # 3658
England vs New Zealand,England,New Zealand,England,3 wickets,Chester-le-Street,"Jun 20, 2015",ODI # 3659
Bangladesh vs India,Bangladesh,India,Bangladesh,6 wickets,Mirpur,"Jun 21, 2015",ODI # 3660
Bangladesh vs India,Bangladesh,India,India,77 runs,Mirpur,"Jun 24, 2015",ODI # 3661
Zimbabwe vs India,Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015",ODI # 3662
Bangladesh vs South Africa,Bangladesh,South Africa,South Africa,8 wickets,Mirpur,"Jul 10, 2015",ODI # 3663
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,"Jul 11, 2015",ODI # 3664
Zimbabwe vs India,Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015",ODI # 3665
Bangladesh vs South Africa,Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,"Jul 12, 2015",ODI # 3666
Zimbabwe vs India,Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015",ODI # 3667
Bangladesh vs South Africa,Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,"Jul 15, 2015",ODI # 3668
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,"Jul 15, 2015",ODI # 3669
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),"Jul 19, 2015",ODI # 3670
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),"Jul 22, 2015",ODI # 3671
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015",ODI # 3672
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,"Aug 2, 2015",ODI # 3673
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Aug 4, 2015",ODI # 3674
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,New Zealand,38 runs,Harare,"Aug 7, 2015",ODI # 3675
South Africa vs New Zealand,South Africa,New Zealand,South Africa,20 runs,Centurion,"Aug 19, 2015",ODI # 3676
South Africa vs New Zealand,South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,"Aug 23, 2015",ODI # 3677
South Africa vs New Zealand,South Africa,New Zealand,South Africa,62 runs,Durban,"Aug 26, 2015",ODI # 3678
Ireland vs Australia,Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015",ODI # 3679
England vs Australia,England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015",ODI # 3680
England vs Australia,England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015",ODI # 3681
England vs Australia,England,Australia,England,93 runs,Manchester,"Sep 8, 2015",ODI # 3682
England vs Australia,England,Australia,England,3 wickets,Leeds,"Sep 11, 2015",ODI # 3683
England vs Australia,England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015",ODI # 3684
