teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Pakistan,8,Naved-ul-Hasan,c †Haddin b Harris,0,1,1,0,0,0.00,2947
Pakistan,9,Iftikhar Anjum,c †Haddin b Harris,5,24,34,0,0,20.83,2947
Pakistan,10,Saeed Ajmal,b Hauritz,7,15,12,0,0,46.66,2947
Pakistan,11,Mohammad Asif,not out,0,8,10,0,0,0.00,2947
Pakistan,1,Salman Butt,c †Haddin b Harris,0,5,3,0,0,0.00,2948
Pakistan,2,Khalid Latif,c & b Johnson,0,5,8,0,0,0.00,2948
Pakistan,3,Younis Khan,c †Haddin b McKay,3,22,34,0,0,13.63,2948
Pakistan,4,Shoaib Malik,run out (Johnson),36,62,95,3,0,58.06,2948
Pakistan,5,Umar Akmal,b McKay,67,102,131,2,1,65.68,2948
Pakistan,6,Fawad Alam,c Hauritz b McKay,63,70,110,4,0,90.00,2948
Pakistan,7,Shahid Afridi (c),c Hauritz b Harris,1,4,5,0,0,25.00,2948
Pakistan,8,Sarfaraz Ahmed †,c White b Johnson,6,13,18,0,0,46.15,2948
Pakistan,9,Naved-ul-Hasan,b Harris,8,6,5,1,0,133.33,2948
Pakistan,10,Iftikhar Anjum,c Ponting b McKay,16,8,10,2,1,200.00,2948
Pakistan,11,Mohammad Asif,not out,0,0,1,0,0,-,2948
Australia,1,Shaun Marsh,c Fawad Alam b Mohammad Asif,25,37,49,3,0,67.56,2948
Australia,2,Brad Haddin †,c Shoaib Malik b Naved-ul-Hasan,7,13,22,0,0,53.84,2948
Australia,3,Ricky Ponting (c),c Umar Akmal b Shoaib Malik,55,78,95,6,0,70.51,2948
Australia,4,Cameron White,b Shahid Afridi,13,20,20,1,1,65.00,2948
Australia,5,Adam Voges,c Younis Khan b Shoaib Malik,24,47,63,1,0,51.06,2948
Australia,6,Michael Hussey,not out,40,46,86,3,0,86.95,2948
Australia,7,James Hopes,c Younis Khan b Shahid Afridi,6,15,14,0,0,40.00,2948
